,Symbol,Expiration,Size,Strike,Spot,Received,Type,Cap,diff,dt
234,PAAS,2021/04/16,$49.96K,55.0,29.61,2021/01/20 00:44,Call,49.96,86,20210119
235,IPOF,2021/07/16,$1.05M,7.5,14.83,2021/01/20 00:44,Call,1050.0,177,20210119
236,TSM,2021/02/19,$284.12K,150.0,131.61,2021/01/20 00:44,Call,284.12,30,20210119
237,TSM,2021/02/19,$374.40K,140.0,131.64,2021/01/20 00:43,Call,374.4,30,20210119
238,NEE,2021/03/19,$381.25K,82.5,82.38,2021/01/20 00:41,Put,381.25,58,20210119
239,MDT,2022/01/21,$2.03M,120.0,117.78,2021/01/20 00:40,Call,2029.9999999999998,366,20210119
240,NEE,2021/02/19,$250.00K,82.5,82.29,2021/01/20 00:40,Put,250.0,30,20210119
241,TWTR,2021/03/19,$996.75K,45.0,45.12,2021/01/20 00:40,Call,996.75,58,20210119
242,TWTR,2021/03/19,$967.50K,45.0,45.12,2021/01/20 00:40,Put,967.5,58,20210119
243,SNDL,2021/02/26,$27.36K,1.0,0.68,2021/01/20 00:39,Call,27.36,37,20210119
244,HEXO,2021/03/19,$93.00K,8.0,6.94,2021/01/20 00:39,Call,93.0,58,20210119
245,AMPE,2021/04/16,$50.00K,2.0,1.52,2021/01/20 00:36,Call,50.0,86,20210119
246,MU,2021/02/19,$111.68K,95.0,83.26,2021/01/20 00:35,Call,111.68,30,20210119
247,PTON,2021/03/19,$4.82M,170.0,146.04,2021/01/20 00:35,Put,4820.0,58,20210119
248,PTON,2021/03/19,$1.24M,170.0,146.04,2021/01/20 00:35,Call,1240.0,58,20210119
249,BILI,2021/02/19,$510.00K,160.0,130.11,2021/01/20 00:35,Call,510.0,30,20210119
250,BHVN,2021/03/19,$1.79M,85.0,82.14,2021/01/20 00:34,Put,1790.0,58,20210119
251,BHVN,2021/03/19,$1.47M,85.0,82.14,2021/01/20 00:34,Call,1470.0,58,20210119
252,INSG,2021/09/17,$714.00K,12.5,17.19,2021/01/20 00:34,Put,714.0,240,20210119
253,LYFT,2021/01/22,$63.57K,50.0,48.39,2021/01/20 00:32,Call,63.57,2,20210119
254,SQ,2021/01/29,$162.00K,270.0,224.99,2021/01/20 00:32,Call,162.0,9,20210119
255,GE,2021/06/18,$560.00K,12.0,11.51,2021/01/20 00:31,Put,560.0,149,20210119
256,PEP,2021/03/19,$1.18M,150.0,141.9,2021/01/20 00:31,Call,1180.0,58,20210119
257,GOGO,2021/03/19,$138.72K,12.0,11.52,2021/01/20 00:31,Call,138.72,58,20210119
258,KO,2021/02/19,$112.80K,47.5,48.28,2021/01/20 00:28,Put,112.8,30,20210119
259,BHC,2021/04/16,$164.87K,35.0,27.24,2021/01/20 00:27,Call,164.87,86,20210119
260,FE,2021/02/19,$200.00K,30.0,31.26,2021/01/20 00:27,Put,200.0,30,20210119
261,PDD,2021/01/29,$286.00K,192.5,171.32,2021/01/20 00:26,Call,286.0,9,20210119
262,GE,2021/03/19,$550.00K,9.0,11.52,2021/01/20 00:25,Put,550.0,58,20210119
263,PANW,2021/02/19,$22.50K,190.0,365.48,2021/01/20 00:25,Put,22.5,30,20210119
264,SLQT,2021/02/19,$233.35K,25.0,24.04,2021/01/20 00:24,Call,233.35,30,20210119
265,GM,2021/01/29,$141.87K,60.0,55.0,2021/01/20 00:24,Call,141.87,9,20210119
266,SRE,2021/03/19,$394.68K,130.0,121.74,2021/01/20 00:24,Call,394.68,58,20210119
267,GME,2021/03/19,$1.28M,39.0,38.53,2021/01/20 00:24,Put,1280.0,58,20210119
