,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff,today
147,FCX,2021/03/19,$389.69K,35.0,31.17,2021/01/13 23:43,20210113,Call,389.69,45,7
148,CME,2021/03/19,$580.00K,195.0,202.03,2021/01/13 23:39,20210113,Put,580.0,45,7
149,LAC,2021/08/20,$560.56K,30.0,20.21,2021/01/13 23:33,20210113,Call,560.56,199,161
150,GM,2021/03/19,$339.00K,60.0,48.74,2021/01/13 23:33,20210113,Call,339.0,45,7
151,GM,2021/03/19,$301.50K,55.0,48.74,2021/01/13 23:33,20210113,Call,301.5,45,7
152,QELL,2021/04/16,$320.00K,10.0,13.04,2021/01/13 23:32,20210113,Put,320.0,73,35
153,QELL,2021/04/16,$3.50M,10.0,13.04,2021/01/13 23:32,20210113,Call,3500.0,73,35
154,TGT,2021/07/16,$655.60K,230.0,197.09,2021/01/13 23:32,20210113,Call,655.6,164,126
155,BMY,2022/01/21,$900.00K,70.0,65.4,2021/01/13 23:29,20210113,Call,900.0,353,315
156,BMY,2023/01/20,$1.47M,70.0,65.4,2021/01/13 23:29,20210113,Call,1470.0,717,679
157,KO,2023/01/20,$1.46M,47.5,50.1,2021/01/13 23:29,20210113,Call,1460.0,717,679
158,GOLD,2023/01/20,$610.00K,20.0,23.66,2021/01/13 23:28,20210113,Put,610.0,717,679
159,MOMO,2021/07/16,$570.21K,18.0,15.89,2021/01/13 23:26,20210113,Call,570.21,164,126
160,DISCK,2021/03/19,$100.00K,35.0,31.04,2021/01/13 23:26,20210113,Call,100.0,45,7
161,NG,2021/03/19,$108.75K,10.0,9.63,2021/01/13 23:19,20210113,Call,108.75,45,7
162,GM,2022/01/21,$1.68M,45.0,48.92,2021/01/13 23:19,20210113,Put,1680.0,353,315
163,RF,2021/05/21,$115.00K,19.0,18.05,2021/01/13 23:19,20210113,Call,115.0,108,70
164,CAN,2021/07/16,$200.00K,5.0,5.23,2021/01/13 23:17,20210113,Put,200.0,164,126
165,BHC,2021/04/16,$154.39K,30.0,24.5,2021/01/13 23:16,20210113,Call,154.39,73,35
166,VALE,2021/06/18,$188.50K,20.0,18.41,2021/01/13 23:15,20210113,Call,188.5,136,98
167,VALE,2021/06/18,$68.90K,25.0,18.41,2021/01/13 23:15,20210113,Call,68.9,136,98
